Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200701BS70004,Slight,03-01-2019,51.493311,Darkness - lights lit,Kensington and Chelsea,-0.190427,2,1,Wet or damp,Single carriageway,Urban,Other,Car
200701BS70005,Slight,02-01-2019,51.49806,Daylight,Kensington and Chelsea,-0.166178,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70006,Slight,06-01-2019,51.490526,Daylight,Kensington and Chelsea,-0.196443,2,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Taxi/Private hire car
200701BS70007,Slight,17-01-2019,51.513352,Darkness - lights lit,Kensington and Chelsea,-0.207216,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle 125cc and under
200701BS70008,Slight,12-01-2019,51.514951,Darkness - lights lit,Kensington and Chelsea,-0.217674,2,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70009,Slight,09-01-2019,51.514489,Daylight,Kensington and Chelsea,-0.199244,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70010,Slight,13-01-2019,51.480325,Darkness - lights lit,Kensington and Chelsea,-0.1823,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70011,Slight,02-01-2019,51.494902,Daylight,Kensington and Chelsea,-0.182872,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70012,Slight,07-01-2019,51.514399,Darkness - lights lit,Kensington and Chelsea,-0.199248,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70013,Slight,08-01-2019,51.498244,Daylight,Kensington and Chelsea,-0.201325,1,1,Wet or damp,Single carriageway,Urban,Other,Car
200701BS70014,Slight,03-01-2019,51.524885,Daylight,Kensington and Chelsea,-0.214547,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70015,Slight,18-01-2019,51.497451,Darkness - lights lit,Kensington and Chelsea,-0.167499,1,2,Wet or damp,Single carriageway,Urban,Fine + high winds,Car
200701BS70016,Slight,07-01-2019,51.492577,Daylight,Kensington and Chelsea,-0.183685,2,3,Dry,Single carriageway,Urban,Fine no high winds,Other vehicle
200701BS70017,Slight,13-01-2019,51.508535,Daylight,Kensington and Chelsea,-0.215619,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701BS70019,Slight,10-01-2019,51.493766,Daylight,Kensington and Chelsea,-0.17341,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70020,Slight,16-01-2019,51.48943,Daylight,Kensington and Chelsea,-0.172142,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70021,Slight,22-01-2019,51.493753,Daylight,Kensington and Chelsea,-0.178308,1,2,Wet or damp,Single carriageway,Urban,Raining + high winds,Car
200701BS70022,Slight,15-01-2019,51.481746,Daylight,Kensington and Chelsea,-0.17533,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70023,Slight,14-01-2019,51.49721,Daylight,Kensington and Chelsea,-0.157856,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70024,Slight,04-01-2019,51.485216,Darkness - lights lit,Kensington and Chelsea,-0.149986,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701BS70025,Serious,02-01-2019,51.485589,Darkness - lights lit,Kensington and Chelsea,-0.150835,1,3,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70026,Slight,15-01-2019,51.488489,Darkness - lights lit,Kensington and Chelsea,-0.192634,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70028,Slight,20-01-2019,51.485849,Daylight,Kensington and Chelsea,-0.17315,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70029,Slight,18-01-2019,51.481152,Daylight,Kensington and Chelsea,-0.183419,1,2,Dry,Single carriageway,Urban,Fine no high winds,Minibus (8 - 16 passenger seats)
200701BS70032,Slight,26-01-2019,51.492624,Daylight,Kensington and Chelsea,-0.157897,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70034,Slight,12-01-2019,51.49859,Darkness - lights lit,Kensington and Chelsea,-0.165581,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70035,Slight,28-01-2019,51.527693,Darkness - lights lit,Westminster,-0.215879,3,3,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70036,Slight,24-01-2019,51.482775,Daylight,Kensington and Chelsea,-0.177882,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70037,Serious,24-01-2019,51.491908,Darkness - lights lit,Kensington and Chelsea,-0.192787,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70038,Slight,27-01-2019,51.497451,Darkness - lights lit,Kensington and Chelsea,-0.167499,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70039,Slight,27-01-2019,51.510711,Darkness - lights lit,Kensington and Chelsea,-0.216831,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70040,Slight,25-01-2019,51.500933,Darkness - lights lit,Kensington and Chelsea,-0.19488,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70041,Slight,24-01-2019,51.497725,Darkness - lights lit,Kensington and Chelsea,-0.202642,1,1,Snow,Single carriageway,Urban,Snowing no high winds,Car
200701BS70042,Slight,26-01-2019,51.48849,Daylight,Kensington and Chelsea,-0.181111,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70043,Slight,25-01-2019,51.491499,Darkness - lights lit,Kensington and Chelsea,-0.172204,2,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70044,Slight,27-01-2019,51.528344,Darkness - lights lit,Kensington and Chelsea,-0.217295,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70045,Slight,24-01-2019,51.480261,Daylight,Kensington and Chelsea,-0.178126,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70046,Slight,27-01-2019,51.489416,Daylight,Kensington and Chelsea,-0.19447,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70047,Serious,28-01-2019,51.4996,Darkness - lights lit,Kensington and Chelsea,-0.207611,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70049,Slight,27-01-2019,51.494905,Darkness - lights lit,Kensington and Chelsea,-0.183016,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70050,Slight,09-01-2019,51.492622,Daylight,Kensington and Chelsea,-0.157753,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70051,Slight,20-01-2019,51.503223,Darkness - lights lit,Kensington and Chelsea,-0.191763,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70052,Serious,08-02-2019,51.497541,Darkness - lights lit,Kensington and Chelsea,-0.167496,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70053,Serious,10-02-2019,51.514399,Darkness - lights lit,Kensington and Chelsea,-0.199248,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle 50cc and under
200701BS70054,Slight,06-02-2019,51.511079,Darkness - lights lit,Kensington and Chelsea,-0.205576,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70055,Serious,26-01-2019,51.458413,Daylight,Richmond upon Thames,-0.323089,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70057,Slight,04-02-2019,51.50689,Daylight,Kensington and Chelsea,-0.208046,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70058,Slight,06-02-2019,51.487655,Darkness - lights lit,Kensington and Chelsea,-0.167892,1,1,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701BS70059,Slight,04-02-2019,51.506014,Darkness - lights lit,Kensington and Chelsea,-0.209521,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70060,Slight,01-02-2019,51.480458,Daylight,Kensington and Chelsea,-0.185031,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70061,Serious,31-01-2019,51.493503,Darkness - lights lit,Kensington and Chelsea,-0.173852,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70062,Slight,31-01-2019,51.484449,Darkness - lights lit,Kensington and Chelsea,-0.175654,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70063,Slight,30-01-2019,51.491742,Daylight,Kensington and Chelsea,-0.164703,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70064,Slight,03-02-2019,51.490715,Daylight,Kensington and Chelsea,-0.19125,2,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70065,Slight,05-02-2019,51.498204,Daylight,Kensington and Chelsea,-0.192826,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70066,Serious,03-02-2019,51.486026,Daylight,Kensington and Chelsea,-0.161476,2,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70067,Slight,14-02-2019,51.510897,Darkness - lights lit,Kensington and Chelsea,-0.205439,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70068,Slight,12-02-2019,51.501428,Darkness - lights lit,Kensington and Chelsea,-0.191978,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70069,Slight,07-02-2019,51.494612,Darkness - lights lit,Kensington and Chelsea,-0.18735,1,1,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70070,Slight,03-01-2019,51.493914,Daylight,Kensington and Chelsea,-0.177149,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70071,Slight,24-01-2019,51.522561,Darkness - lights lit,Kensington and Chelsea,-0.221413,1,1,Snow,Single carriageway,Urban,Snowing no high winds,Car
200701BS70072,Slight,20-01-2019,51.518081,Darkness - lights lit,Kensington and Chelsea,-0.210633,2,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle over 500cc
200701BS70073,Serious,14-02-2019,51.490546,Daylight,Kensington and Chelsea,-0.186071,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70074,Slight,08-02-2019,51.482076,Daylight,Kensington and Chelsea,-0.173445,1,4,Snow,Single carriageway,Urban,Snowing no high winds,Motorcycle 50cc and under
200701BS70075,Slight,13-02-2019,51.482637,Darkness - lights lit,Kensington and Chelsea,-0.186385,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70076,Slight,14-02-2019,51.48757,Darkness - lights lit,Kensington and Chelsea,-0.168184,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70077,Slight,13-02-2019,51.496411,Darkness - lights lit,Kensington and Chelsea,-0.164228,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70079,Slight,19-02-2019,51.500497,Darkness - lights lit,Kensington and Chelsea,-0.195761,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70080,Slight,16-02-2019,51.495191,Daylight,Kensington and Chelsea,-0.18992,2,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70081,Slight,14-02-2019,51.5159,Daylight,Kensington and Chelsea,-0.209133,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70082,Slight,10-02-2019,51.480177,Daylight,Kensington and Chelsea,-0.178561,1,1,Dry,Single carriageway,Urban,Other,Car
200701BS70083,Slight,22-02-2019,51.50768,Daylight,Kensington and Chelsea,-0.195045,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle over 500cc
200701BS70084,Slight,10-02-2019,51.487141,Darkness - lights lit,Kensington and Chelsea,-0.169497,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70085,Slight,11-02-2019,51.496464,Daylight,Kensington and Chelsea,-0.179209,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70086,Slight,28-02-2019,51.485757,Daylight,Kensington and Chelsea,-0.150108,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70087,Slight,25-02-2019,51.48342,Daylight,Kensington and Chelsea,-0.167342,2,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle 50cc and under
200701BS70088,Slight,19-02-2019,51.518935,Darkness - lights lit,Kensington and Chelsea,-0.225446,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70089,Slight,18-02-2019,51.49566,Darkness - lights lit,Kensington and Chelsea,-0.173766,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70090,Slight,28-02-2019,51.484962,Daylight,Kensington and Chelsea,-0.185572,1,3,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701BS70091,Slight,27-02-2019,51.49557,Darkness - lights lit,Kensington and Chelsea,-0.17377,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701BS70092,Slight,24-02-2019,51.501749,Darkness - lights lit,Westminster,-0.160555,2,2,Dry,Dual carriageway,Urban,Fine no high winds,Car
200701BS70094,Slight,03-03-2019,51.51417,Darkness - lights lit,Kensington and Chelsea,-0.20776,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70095,Slight,03-03-2019,51.485323,Darkness - lights lit,Kensington and Chelsea,-0.174035,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70096,Slight,02-03-2019,51.496174,Daylight,Kensington and Chelsea,-0.207025,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70097,Slight,28-02-2019,51.508537,Darkness - lights lit,Kensington and Chelsea,-0.215763,1,2,Dry,Single carriageway,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200701BS70098,Slight,27-02-2019,51.488988,Darkness - lights lit,Kensington and Chelsea,-0.190022,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701BS70099,Slight,02-03-2019,51.509605,Daylight,Kensington and Chelsea,-0.197419,1,2,Dry,Roundabout,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70100,Slight,05-03-2019,51.487745,Daylight,Kensington and Chelsea,-0.167889,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70101,Slight,01-03-2019,51.493252,Daylight,Kensington and Chelsea,-0.169252,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70102,Slight,06-03-2019,51.5159,Daylight,Kensington and Chelsea,-0.209133,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70103,Slight,01-03-2019,51.517252,Daylight,Kensington and Chelsea,-0.203459,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70105,Slight,13-03-2019,51.483422,Daylight,Kensington and Chelsea,-0.167486,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70106,Slight,03-03-2019,51.494624,Daylight,Kensington and Chelsea,-0.193976,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70107,Slight,20-03-2019,51.519685,Daylight,Kensington and Chelsea,-0.215615,1,1,Dry,Single carriageway,Urban,Other,Car
200701BS70108,Serious,10-03-2019,51.484044,Darkness - lights lit,Kensington and Chelsea,-0.184312,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70110,Serious,06-03-2019,51.485364,Daylight,Kensington and Chelsea,-0.188293,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70115,Slight,14-03-2019,51.517171,Darkness - lights lit,Kensington and Chelsea,-0.209948,1,1,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70116,Slight,21-03-2019,51.491964,Darkness - lights lit,Kensington and Chelsea,-0.161669,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70117,Slight,27-02-2019,51.479733,Darkness - lights unlit,Kensington and Chelsea,-0.178867,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701BS70118,Slight,08-03-2019,51.498154,Daylight,Kensington and Chelsea,-0.166463,1,2,Dry,Dual carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70120,Slight,16-03-2019,51.515641,Daylight,Hammersmith and Fulham,-0.221683,1,2,Dry,Slip road,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70121,Slight,15-03-2019,51.49747,Darkness - lights lit,Kensington and Chelsea,-0.197754,1,2,Dry,One way street,Urban,Fine no high winds,Car
200701BS70122,Slight,16-03-2019,51.499443,Daylight,Kensington and Chelsea,-0.197388,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70124,Slight,17-03-2019,51.494469,Daylight,Kensington and Chelsea,-0.195567,1,3,Dry,Dual carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70125,Slight,17-03-2019,51.488439,Daylight,Kensington and Chelsea,-0.166276,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70126,Slight,17-03-2019,51.477833,Darkness - lights lit,Hammersmith and Fulham,-0.189744,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70127,Slight,14-02-2019,51.50191,Daylight,Westminster,-0.159396,3,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70128,Slight,18-03-2019,51.5159,Darkness - lights lit,Kensington and Chelsea,-0.209133,2,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70129,Slight,25-03-2019,51.507806,Daylight,Kensington and Chelsea,-0.203254,1,1,Dry,Dual carriageway,Urban,Fine no high winds,Car
200701BS70130,Slight,11-03-2019,51.504582,Daylight,Hammersmith and Fulham,-0.215917,1,2,Dry,Roundabout,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
200701BS70131,Slight,13-03-2019,51.508472,Daylight,Kensington and Chelsea,-0.19977,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70132,Slight,16-03-2019,51.494508,Daylight,Kensington and Chelsea,-0.174821,1,1,Dry,Roundabout,Urban,Fine no high winds,Car
200701BS70133,Slight,17-03-2019,51.493429,Daylight,Kensington and Chelsea,-0.169101,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70134,Slight,20-03-2019,51.48295,Daylight,Kensington and Chelsea,-0.177587,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70138,Slight,26-03-2019,51.502197,Daylight,Kensington and Chelsea,-0.189354,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70139,Slight,23-03-2019,51.491149,Daylight,Kensington and Chelsea,-0.172794,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701BS70140,Serious,22-03-2019,51.48555,Daylight,Kensington and Chelsea,-0.177051,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70141,Slight,22-03-2019,51.488394,Daylight,Kensington and Chelsea,-0.19235,1,1,Wet or damp,Single carriageway,Urban,Snowing no high winds,Bus or coach (17 or more pass seats)
200701BS70142,Slight,24-03-2019,51.523076,Darkness - lights lit,Kensington and Chelsea,-0.219807,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70143,Slight,23-03-2019,51.482079,Darkness - lights lit,Kensington and Chelsea,-0.173589,1,2,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70145,Serious,21-03-2019,51.488093,Daylight,Kensington and Chelsea,-0.167154,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70146,Slight,26-03-2019,51.501198,Daylight,Kensington and Chelsea,-0.159857,1,1,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70147,Slight,24-03-2019,51.495361,Darkness - lights lit,Kensington and Chelsea,-0.177668,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle 50cc and under
200701BS70148,Slight,21-03-2019,51.496171,Daylight,Kensington and Chelsea,-0.206881,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70149,Slight,25-03-2019,51.489416,Daylight,Kensington and Chelsea,-0.19447,1,3,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70150,Slight,30-03-2019,51.498838,Darkness - lights lit,Kensington and Chelsea,-0.198997,1,2,Dry,Dual carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70151,Slight,20-03-2019,51.493269,Daylight,Kensington and Chelsea,-0.181929,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70152,Slight,30-03-2019,51.485757,Daylight,Kensington and Chelsea,-0.150108,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70153,Slight,24-03-2019,51.502405,Daylight,Kensington and Chelsea,-0.191219,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70154,Slight,25-03-2019,51.51502,Darkness - lights lit,Kensington and Chelsea,-0.204556,2,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70156,Slight,22-03-2019,51.490172,Darkness - lights lit,Kensington and Chelsea,-0.190983,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70157,Slight,28-03-2019,51.48803,Daylight,Kensington and Chelsea,-0.174647,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70158,Serious,29-03-2019,51.483586,Daylight,Kensington and Chelsea,-0.166471,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70159,Slight,02-02-2019,51.480806,Daylight,Kensington and Chelsea,-0.184297,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70160,Slight,03-03-2019,51.496507,Daylight,Kensington and Chelsea,-0.158893,1,3,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70161,Slight,30-03-2019,51.511923,Daylight,Kensington and Chelsea,-0.201939,2,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701BS70162,Slight,28-03-2019,51.483334,Daylight,Kensington and Chelsea,-0.167633,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70163,Slight,03-04-2019,51.495557,Daylight,Kensington and Chelsea,-0.16138,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70164,Slight,02-04-2019,51.483247,Daylight,Kensington and Chelsea,-0.167781,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70166,Slight,17-03-2019,51.490753,Daylight,Kensington and Chelsea,-0.182029,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70167,Slight,30-03-2019,51.513895,Darkness - lights lit,Kensington and Chelsea,-0.201573,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
